%GUI Data Logging
%Number of channels = 8
%Sample rate = 250Hz
%Board = MiniKit:2.0.0
Timestamp,ExG Channel 0,ExG Channel 1,ExG Channel 2,ExG Channel 3,ExG Channel 4,ExG Channel 5,ExG Channel 6,ExG Channel 7
1700061768069.0,14588.799476623535,0,0,0,0,0,0,0
1700061768073.0,14561.27643585205,0,0,0,0,0,0,0
1700061768077.0,14508.87680053711,0,0,0,0,0,0,0
1700061768081.0,14550.426006317139,0,0,0,0,0,0,0
1700061768085.0,14547.514915466309,0,0,0,0,0,0,0
1700061768089.0,14544.603824615479,0,0,0,0,0,0,0
1700061768093.0,14507.288932800293,0,0,0,0,0,0,0
1700061768097.0,14493.262767791748,0,0,0,0,0,0,0
1700061768101.0,14515.228271484375,0,0,0,0,0,0,0
1700061768105.0,14505.436420440674,0,0,0,0,0,0,0
1700061768109.0,14481.618404388428,0,0,0,0,0,0,0
1700061768113.0,14495.37992477417,0,0,0,0,0,0,0
1700061768117.0,14431.335926055908,0,0,0,0,0,0,0
1700061768121.0,14452.242851257324,0,0,0,0,0,0,0
1700061768125.0,14488.234519958496,0,0,0,0,0,0,0
1700061768129.0,14467.592239379883,0,0,0,0,0,0,0
1700061768133.0,14476.06086730957,0,0,0,0,0,0,0
1700061768137.0,14549.367427825928,0,0,0,0,0,0,0
1700061768141.0,14415.98653793335,0,0,0,0,0,0,0
1700061768145.0,14409.105777740479,0,0,0,0,0,0,0
1700061768149.0,14410.693645477295,0,0,0,0,0,0,0
1700061768153.0,14367.55657196045,0,0,0,0,0,0,0
1700061768157.0,14351.942539215088,0,0,0,0,0,0,0
1700061768161.0,14333.946704864502,0,0,0,0,0,0,0
1700061768165.0,14359.88187789917,0,0,0,0,0,0,0
1700061768169.0,14335.005283355713,0,0,0,0,0,0,0
1700061768173.0,14310.657978057861,0,0,0,0,0,0,0
1700061768177.0,14234.440326690674,0,0,0,0,0,0,0
1700061768181.0,14228.882789611816,0,0,0,0,0,0,0
1700061768185.0,14298.219680786133,0,0,0,0,0,0,0
1700061768189.0,14213.004112243652,0,0,0,0,0,0,0
1700061768193.0,14230.735301971436,0,0,0,0,0,0,0
1700061768197.0,14282.870292663574,0,0,0,0,0,0,0
1700061768181,14281.811714172363,0,0,0,0,0,0,0
1700061768185.0,14246.084690093994,0,0,0,0,0,0,0
1700061768189.0,14220.414161682129,0,0,0,0,0,0,0
1700061768193.0,14175.424575805664,0,0,0,0,0,0,0
1700061768197.0,14197.390079498291,0,0,0,0,0,0,0
1700061768201.0,14174.365997314453,0,0,0,0,0,0,0
1700061768205.0,14220.943450927734,0,0,0,0,0,0,0
1700061768209.0,14211.680889129639,0,0,0,0,0,0,0
1700061768213.0,14217.238426208496,0,0,0,0,0,0,0
1700061768217.0,14218.032360076904,0,0,0,0,0,0,0
1700061768221.0,14214.856624603271,0,0,0,0,0,0,0
1700061768225.0,14263.286590576172,0,0,0,0,0,0,0
1700061768229.0,14263.286590576172,0,0,0,0,0,0,0
1700061768233.0,14267.785549163818,0,0,0,0,0,0,0
1700061768237.0,14253.230094909668,0,0,0,0,0,0,0
1700061768241.0,14275.460243225098,0,0,0,0,0,0,0
1700061768245.0,14265.403747558594,0,0,0,0,0,0,0
1700061768249.0,14227.824211120605,0,0,0,0,0,0,0
1700061768253.0,14276.518821716309,0,0,0,0,0,0,0
1700061768257.0,14249.260425567627,0,0,0,0,0,0,0
1700061768261.0,14252.700805664062,0,0,0,0,0,0,0
1700061768265.0,14273.607730865479,0,0,0,0,0,0,0
1700061768269.0,14299.278259277344,0,0,0,0,0,0,0
1700061768273.0,14242.908954620361,0,0,0,0,0,0,0
1700061768277.0,14268.050193786621,0,0,0,0,0,0,0
1700061768281.0,14253.230094909668,0,0,0,0,0,0,0
1700061768285.0,14213.004112243652,0,0,0,0,0,0,0
1700061768289.0,14252.171516418457,0,0,0,0,0,0,0
1700061768293.0,14256.4058303833,0,0,0,0,0,0,0
1700061768297.0,14244.76146697998,0,0,0,0,0,0,0
1700061768301.0,14199.771881103516,0,0,0,0,0,0,0
1700061768305.0,14185.481071472168,0,0,0,0,0,0,0
1700061768309.0,14222.53131866455,0,0,0,0,0,0,0
1700061768313.0,14143.13793182373,0,0,0,0,0,0,0
1700061768317.0,14135.198593139648,0,0,0,0,0,0,0
1700061768321.0,14183.363914489746,0,0,0,0,0,0,0
1700061768325.0,14246.6139793396,0,0,0,0,0,0,0
1700061768329.0,14217.767715454102,0,0,0,0,0,0,0
1700061768333.0,14202.682971954346,0,0,0,0,0,0,0
1700061768337.0,14190.50931930542,0,0,0,0,0,0,0
1700061768341.0,14134.140014648438,0,0,0,0,0,0,0
1700061768345.0,14164.044857025146,0,0,0,0,0,0,0
1700061768349.0,14242.908954620361,0,0,0,0,0,0,0
1700061768353.0,14235.234260559082,0,0,0,0,0,0,0
1700061768357.0,14229.14743423462,0,0,0,0,0,0,0
1700061768361.0,14162.45698928833,0,0,0,0,0,0,0
1700061768365.0,14237.351417541504,0,0,0,0,0,0,0
1700061768369.0,14249.52507019043,0,0,0,0,0,0,0
1700061768373.0,14257.729053497314,0,0,0,0,0,0,0
1700061768377.0,14179.129600524902,0,0,0,0,0,0,0
1700061768421,14218.826293945312,0,0,0,0,0,0,0
1700061768425.0,14260.640144348145,0,0,0,0,0,0,0
1700061768429.0,14174.365997314453,0,0,0,0,0,0,0
1700061768433.0,14195.537567138672,0,0,0,0,0,0,0
1700061768437.0,14211.680889129639,0,0,0,0,0,0,0
1700061768441.0,14264.345169067383,0,0,0,0,0,0,0
1700061768445.0,14224.119186401367,0,0,0,0,0,0,0
1700061768449.0,14252.171516418457,0,0,0,0,0,0,0
1700061768453.0,14193.685054779053,0,0,0,0,0,0,0
1700061768457.0,14238.145351409912,0,0,0,0,0,0,0
1700061768461.0,14215.915203094482,0,0,0,0,0,0,0
1700061768465.0,14204.535484313965,0,0,0,0,0,0,0
1700061768469.0,14189.715385437012,0,0,0,0,0,0,0
1700061768473.0,14217.238426208496,0,0,0,0,0,0,0
1700061768477.0,14137.051105499268,0,0,0,0,0,0,0
1700061768481.0,14172.248840332031,0,0,0,0,0,0,0
1700061768485.0,14169.602394104004,0,0,0,0,0,0,0
1700061768489.0,14178.600311279297,0,0,0,0,0,0,0
1700061768493.0,14189.450740814209,0,0,0,0,0,0,0
1700061768497.0,14232.852458953857,0,0,0,0,0,0,0
1700061768501.0,14206.123352050781,0,0,0,0,0,0,0
1700061768505.0,14200.565814971924,0,0,0,0,0,0,0
1700061768509.0,14164.044857025146,0,0,0,0,0,0,0
1700061768513.0,14191.56789779663,0,0,0,0,0,0,0
1700061768517.0,14249.789714813232,0,0,0,0,0,0,0
1700061768521.0,14267.520904541016,0,0,0,0,0,0,0
1700061768525.0,14225.177764892578,0,0,0,0,0,0,0
1700061768529.0,14210.88695526123,0,0,0,0,0,0,0
1700061768533.0,14239.468574523926,0,0,0,0,0,0,0
1700061768537.0,14250.319004058838,0,0,0,0,0,0,0
1700061768541.0,14206.123352050781,0,0,0,0,0,0,0
1700061768545.0,14157.958030700684,0,0,0,0,0,0,0
1700061768549.0,14171.19026184082,0,0,0,0,0,0,0
1700061768553.0,14231.529235839844,0,0,0,0,0,0,0
1700061768557.0,14133.610725402832,0,0,0,0,0,0,0
1700061768561.0,14148.430824279785,0,0,0,0,0,0,0
1700061768565.0,14148.430824279785,0,0,0,0,0,0,0
1700061768569.0,14109.792709350586,0,0,0,0,0,0,0
1700061768573.0,14229.941368103027,0,0,0,0,0,0,0
1700061768577.0,14189.186096191406,0,0,0,0,0,0,0
1700061768581.0,14147.636890411377,0,0,0,0,0,0,0
1700061768585.0,14142.873287200928,0,0,0,0,0,0,0
1700061768589.0,14212.474822998047,0,0,0,0,0,0,0
1700061768593.0,14171.19026184082,0,0,0,0,0,0,0
1700061768597.0,14191.56789779663,0,0,0,0,0,0,0
1700061768601.0,14117.99669265747,0,0,0,0,0,0,0
1700061768605.0,14182.569980621338,0,0,0,0,0,0,0
1700061768609.0,14227.030277252197,0,0,0,0,0,0,0
1700061768613.0,14072.742462158203,0,0,0,0,0,0,0
1700061768617.0,14137.845039367676,0,0,0,0,0,0,0
1700061768601,14169.337749481201,0,0,0,0,0,0,0
1700061768605.0,14193.949699401855,0,0,0,0,0,0,0
1700061768609.0,14144.461154937744,0,0,0,0,0,0,0
1700061768613.0,14184.157848358154,0,0,0,0,0,0,0
1700061768617.0,14156.105518341064,0,0,0,0,0,0,0
1700061768621.0,14185.74571609497,0,0,0,0,0,0,0
1700061768625.0,14219.090938568115,0,0,0,0,0,0,0
1700061768629.0,14159.5458984375,0,0,0,0,0,0,0
1700061768633.0,14139.16826248169,0,0,0,0,0,0,0
1700061768637.0,14229.941368103027,0,0,0,0,0,0,0
1700061768641.0,14219.62022781372,0,0,0,0,0,0,0
1700061768645.0,14184.157848358154,0,0,0,0,0,0,0
1700061768649.0,14165.897369384766,0,0,0,0,0,0,0
1700061768653.0,14245.290756225586,0,0,0,0,0,0,0
1700061768657.0,14218.032360076904,0,0,0,0,0,0,0
1700061768661.0,14200.830459594727,0,0,0,0,0,0,0
1700061768665.0,14163.515567779541,0,0,0,0,0,0,0
1700061768669.0,14152.929782867432,0,0,0,0,0,0,0
1700061768673.0,14153.72371673584,0,0,0,0,0,0,0
1700061768677.0,14132.022857666016,0,0,0,0,0,0,0
1700061768681.0,14191.56789779663,0,0,0,0,0,0,0
1700061768685.0,14079.887866973877,0,0,0,0,0,0,0
1700061768689.0,14139.16826248169,0,0,0,0,0,0,0
1700061768693.0,14183.893203735352,0,0,0,0,0,0,0
1700061768697.0,14270.431995391846,0,0,0,0,0,0,0
1700061768701.0,14099.736213684082,0,0,0,0,0,0,0
1700061768705.0,14137.051105499268,0,0,0,0,0,0,0
1700061768709.0,14181.77604675293,0,0,0,0,0,0,0
1700061768713.0,14178.600311279297,0,0,0,0,0,0,0
1700061768717.0,14152.400493621826,0,0,0,0,0,0,0
