,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,pipeline_category
82,0.6219728,14.256852,144.0,0.1172221,6,session_E,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
83,0.8022449,20.034367,144.0,0.16484551,6,session_T,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
84,0.89863944,45.67031,144.0,0.37506327,7,session_E,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
85,0.8948299,41.8261,144.0,0.34368098,7,session_T,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
86,0.9980952,35.185448,144.0,0.28944686,8,session_E,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
87,0.9970068,29.444912,144.0,0.24211398,8,session_T,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
88,0.9852381,23.026747,144.0,0.18925926,9,session_E,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
89,0.99503404,33.821148,144.0,0.27732438,9,session_T,22,2,BNCI2014-001,ShallowConvNet,LeftRightImagery,WithinSession,Deep Learning
90,0.93136054,14.911323,144.0,0.12852691,1,session_E,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
91,0.9569388,16.322628,144.0,0.14036888,1,session_T,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
92,0.6668027,16.108095,144.0,0.13970806,2,session_E,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
93,0.6160544,15.596669,144.0,0.13542295,2,session_T,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
94,0.99333334,13.677119,144.0,0.11809352,3,session_E,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
95,0.98707485,13.764465,144.0,0.11908212,3,session_T,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
96,0.7284354,12.632736,144.0,0.10938696,4,session_E,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
97,0.8023129,14.578654,144.0,0.12574933,4,session_T,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
98,0.55687076,12.48763,144.0,0.108484276,5,session_E,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
99,0.57843536,12.2051325,144.0,0.10115429,5,session_T,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
100,0.6689796,13.067095,144.0,0.10877416,6,session_E,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
101,0.83238095,12.500604,144.0,0.10314628,6,session_T,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
102,0.78183675,11.971948,144.0,0.09900001,7,session_E,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
103,0.7284354,13.527009,144.0,0.111656696,7,session_T,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
104,0.9904082,13.277215,144.0,0.10887332,8,session_E,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
105,0.9827891,12.899451,144.0,0.106615074,8,session_T,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
106,0.9745578,13.6256695,144.0,0.11266466,9,session_E,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
107,0.9961905,13.203426,144.0,0.10894932,9,session_T,22,2,BNCI2014-001,DeepConvNet,LeftRightImagery,WithinSession,Deep Learning
108,0.9627211,65.88278,144.0,0.053012647,1,session_E,22,2,BNCI2014-001,CSP + LDA,LeftRightImagery,WithinSession,Raw
109,0.9378231,9.49445,144.0,0.005668957,1,session_T,22,2,BNCI2014-001,CSP + LDA,LeftRightImagery,WithinSession,Raw
110,0.9461905,23.868805,144.0,0.016850477,1,session_E,22,2,BNCI2014-001,TRCSP + LDA,LeftRightImagery,WithinSession,Raw
111,0.9297959,5.67037,144.0,0.0033889348,1,session_T,22,2,BNCI2014-001,TRCSP + LDA,LeftRightImagery,WithinSession,Raw
112,0.7495238,18.432009,144.0,0.015027051,1,session_E,22,2,BNCI2014-001,LogVar + SVM,LeftRightImagery,WithinSession,Raw
113,0.82863945,0.43712664,144.0,0.0003361288,1,session_T,22,2,BNCI2014-001,LogVar + SVM,LeftRightImagery,WithinSession,Raw
114,0.82714283,5.0543485,144.0,0.0012507285,1,session_E,22,2,BNCI2014-001,LogVar + LDA,LeftRightImagery,WithinSession,Raw
115,0.82632655,0.23490743,144.0,0.00016735826,1,session_T,22,2,BNCI2014-001,LogVar + LDA,LeftRightImagery,WithinSession,Raw
116,0.9461905,84.241936,144.0,0.06537799,1,session_E,22,2,BNCI2014-001,MDM,LeftRightImagery,WithinSession,Riemannian
117,0.94877553,13.811375,144.0,0.008848612,1,session_T,22,2,BNCI2014-001,MDM,LeftRightImagery,WithinSession,Riemannian
118,0.9731293,11.275507,144.0,0.011658499,1,session_E,22,2,BNCI2014-001,CSP + SVM,LeftRightImagery,WithinSession,Raw
119,0.95034015,36.90253,144.0,0.025723943,1,session_T,22,2,BNCI2014-001,CSP + SVM,LeftRightImagery,WithinSession,Raw
120,0.97020406,0.9669808,144.0,0.00067337294,1,session_E,22,2,BNCI2014-001,TS + LR,LeftRightImagery,WithinSession,Riemannian
121,0.9737415,24.629105,144.0,0.014515005,1,session_T,22,2,BNCI2014-001,TS + LR,LeftRightImagery,WithinSession,Riemannian
122,0.94809526,11.057511,144.0,0.0089455815,1,session_E,22,2,BNCI2014-001,FgMDM,LeftRightImagery,WithinSession,Riemannian
123,0.95061225,59.493587,144.0,0.03539985,1,session_T,22,2,BNCI2014-001,FgMDM,LeftRightImagery,WithinSession,Riemannian
124,0.9607483,6.629827,144.0,0.005397624,1,session_E,22,2,BNCI2014-001,DLCSPauto + shLDA,LeftRightImagery,WithinSession,Raw
125,0.93897957,0.25322476,144.0,0.00016214485,1,session_T,22,2,BNCI2014-001,DLCSPauto + shLDA,LeftRightImagery,WithinSession,Raw
126,0.957551,4.1308503,144.0,0.0033873264,1,session_E,22,2,BNCI2014-001,TS + SVM,LeftRightImagery,WithinSession,Riemannian
127,0.9533333,280.25293,144.0,0.15242325,1,session_T,22,2,BNCI2014-001,TS + SVM,LeftRightImagery,WithinSession,Riemannian
128,0.975034,26.863644,144.0,0.022556614,1,session_E,22,2,BNCI2014-001,TS + EL,LeftRightImagery,WithinSession,Riemannian
129,0.9765986,4.431513,144.0,0.0031592625,1,session_T,22,2,BNCI2014-001,TS + EL,LeftRightImagery,WithinSession,Riemannian
130,0.46176872,251.85078,144.0,0.18244725,2,session_E,22,2,BNCI2014-001,CSP + LDA,LeftRightImagery,WithinSession,Raw
131,0.5914966,1.056403,144.0,0.0004743324,2,session_T,22,2,BNCI2014-001,CSP + LDA,LeftRightImagery,WithinSession,Raw
132,0.5510204,1.0598383,144.0,0.00077681843,2,session_E,22,2,BNCI2014-001,TRCSP + LDA,LeftRightImagery,WithinSession,Raw
133,0.6032653,0.2507429,144.0,0.00014618108,2,session_T,22,2,BNCI2014-001,TRCSP + LDA,LeftRightImagery,WithinSession,Raw
134,0.47510204,10.452749,144.0,0.007213222,2,session_E,22,2,BNCI2014-001,LogVar + SVM,LeftRightImagery,WithinSession,Raw
135,0.5231973,24.018223,144.0,0.013008753,2,session_T,22,2,BNCI2014-001,LogVar + SVM,LeftRightImagery,WithinSession,Raw
136,0.6394558,0.86704886,144.0,0.00051947974,2,session_E,22,2,BNCI2014-001,LogVar + LDA,LeftRightImagery,WithinSession,Raw
137,0.57829934,53.39071,144.0,0.028701764,2,session_T,22,2,BNCI2014-001,LogVar + LDA,LeftRightImagery,WithinSession,Raw
138,0.55918366,3.5571947,144.0,0.0020288923,2,session_E,22,2,BNCI2014-001,MDM,LeftRightImagery,WithinSession,Riemannian
139,0.6280272,169.0312,144.0,0.0908533,2,session_T,22,2,BNCI2014-001,MDM,LeftRightImagery,WithinSession,Riemannian
140,0.44965985,60.508736,144.0,0.047910333,2,session_E,22,2,BNCI2014-001,CSP + SVM,LeftRightImagery,WithinSession,Raw
141,0.6382313,411.0933,144.0,0.22753562,2,session_T,22,2,BNCI2014-001,CSP + SVM,LeftRightImagery,WithinSession,Raw
142,0.6896599,1.7454747,144.0,0.0009577802,2,session_E,22,2,BNCI2014-001,TS + LR,LeftRightImagery,WithinSession,Riemannian
143,0.68435377,20.59819,144.0,0.011115703,2,session_T,22,2,BNCI2014-001,TS + LR,LeftRightImagery,WithinSession,Riemannian
144,0.70959187,24.526632,144.0,0.01774898,2,session_E,22,2,BNCI2014-001,FgMDM,LeftRightImagery,WithinSession,Riemannian
145,0.6855782,36.46658,144.0,0.01965408,2,session_T,22,2,BNCI2014-001,FgMDM,LeftRightImagery,WithinSession,Riemannian
146,0.4979592,47.452847,144.0,0.026598945,2,session_E,22,2,BNCI2014-001,DLCSPauto + shLDA,LeftRightImagery,WithinSession,Raw
147,0.6040136,0.2519365,144.0,0.00014807264,2,session_T,22,2,BNCI2014-001,DLCSPauto + shLDA,LeftRightImagery,WithinSession,Raw
148,0.66312927,2.5518944,144.0,0.0020938695,2,session_E,22,2,BNCI2014-001,TS + SVM,LeftRightImagery,WithinSession,Riemannian
149,0.65979594,4.646405,144.0,0.0031897312,2,session_T,22,2,BNCI2014-001,TS + SVM,LeftRightImagery,WithinSession,Riemannian
150,0.67285717,2.490238,144.0,0.002639971,2,session_E,22,2,BNCI2014-001,TS + EL,LeftRightImagery,WithinSession,Riemannian
151,0.6712245,6.807946,144.0,0.0042725783,2,session_T,22,2,BNCI2014-001,TS + EL,LeftRightImagery,WithinSession,Riemannian
152,0.99714285,7.671674,144.0,0.0011410222,3,session_E,22,2,BNCI2014-001,CSP + LDA,LeftRightImagery,WithinSession,Raw
153,0.9961905,3.8622258,144.0,0.0006509307,3,session_T,22,2,BNCI2014-001,CSP + LDA,LeftRightImagery,WithinSession,Raw
154,0.9789796,0.23840046,144.0,5.178524e-05,3,session_E,22,2,BNCI2014-001,TRCSP + LDA,LeftRightImagery,WithinSession,Raw
155,0.9832653,0.24378672,144.0,5.5453093e-05,3,session_T,22,2,BNCI2014-001,TRCSP + LDA,LeftRightImagery,WithinSession,Raw
156,0.94863945,3.8775494,144.0,0.0007618041,3,session_E,22,2,BNCI2014-001,LogVar + SVM,LeftRightImagery,WithinSession,Raw
157,0.9497959,7.1073804,144.0,0.0012233449,3,session_T,22,2,BNCI2014-001,LogVar + SVM,LeftRightImagery,WithinSession,Raw
158,0.95809525,16.921207,144.0,0.0034677708,3,session_E,22,2,BNCI2014-001,LogVar + LDA,LeftRightImagery,WithinSession,Raw
159,0.9530612,40.709457,144.0,0.0057518473,3,session_T,22,2,BNCI2014-001,LogVar + LDA,LeftRightImagery,WithinSession,Raw
160,0.99523807,19.88823,144.0,0.0032552136,3,session_E,22,2,BNCI2014-001,MDM,LeftRightImagery,WithinSession,Riemannian
161,0.9846939,0.32514715,144.0,0.00010991649,3,session_T,22,2,BNCI2014-001,MDM,LeftRightImagery,WithinSession,Riemannian
162,0.9961905,30.380823,144.0,0.010181051,3,session_E,22,2,BNCI2014-001,CSP + SVM,LeftRightImagery,WithinSession,Raw
163,0.99714285,26.262321,144.0,0.010779389,3,session_T,22,2,BNCI2014-001,CSP + SVM,LeftRightImagery,WithinSession,Raw
164,0.99904764,20.283384,144.0,0.0041745044,3,session_E,22,2,BNCI2014-001,TS + LR,LeftRightImagery,WithinSession,Riemannian
165,0.99523807,16.214447,144.0,0.0024049287,3,session_T,22,2,BNCI2014-001,TS + LR,LeftRightImagery,WithinSession,Riemannian
166,0.99714285,9.767839,144.0,0.0015024918,3,session_E,22,2,BNCI2014-001,FgMDM,LeftRightImagery,WithinSession,Riemannian
167,0.99714285,23.829144,144.0,0.0043911785,3,session_T,22,2,BNCI2014-001,FgMDM,LeftRightImagery,WithinSession,Riemannian
168,0.99523807,30.84994,144.0,0.0045446972,3,session_E,22,2,BNCI2014-001,DLCSPauto + shLDA,LeftRightImagery,WithinSession,Raw
169,0.9961905,148.83542,144.0,0.020444272,3,session_T,22,2,BNCI2014-001,DLCSPauto + shLDA,LeftRightImagery,WithinSession,Raw
170,0.9961905,7.099272,144.0,0.0021900798,3,session_E,22,2,BNCI2014-001,TS + SVM,LeftRightImagery,WithinSession,Riemannian
171,0.9942857,3.8058243,144.0,0.001640285,3,session_T,22,2,BNCI2014-001,TS + SVM,LeftRightImagery,WithinSession,Riemannian
172,0.99714285,76.8157,144.0,0.012031226,3,session_E,22,2,BNCI2014-001,TS + EL,LeftRightImagery,WithinSession,Riemannian
173,0.9961905,80.25315,144.0,0.012219197,3,session_T,22,2,BNCI2014-001,TS + EL,LeftRightImagery,WithinSession,Riemannian
174,0.8640816,0.2513668,144.0,0.00016618951,4,session_E,22,2,BNCI2014-001,CSP + LDA,LeftRightImagery,WithinSession,Raw
175,0.8297279,31.815207,144.0,0.01821667,4,session_T,22,2,BNCI2014-001,CSP + LDA,LeftRightImagery,WithinSession,Raw
176,0.7757823,0.4087785,144.0,0.00026160324,4,session_E,22,2,BNCI2014-001,TRCSP + LDA,LeftRightImagery,WithinSession,Raw
177,0.8082993,0.23508868,144.0,0.00014595226,4,session_T,22,2,BNCI2014-001,TRCSP + LDA,LeftRightImagery,WithinSession,Raw
178,0.64469385,36.134243,144.0,0.0056859828,4,session_E,22,2,BNCI2014-001,LogVar + SVM,LeftRightImagery,WithinSession,Raw
179,0.71040815,10.639915,144.0,0.006176864,4,session_T,22,2,BNCI2014-001,LogVar + SVM,LeftRightImagery,WithinSession,Raw
180,0.6645578,12.154667,144.0,0.00507379,4,session_E,22,2,BNCI2014-001,LogVar + LDA,LeftRightImagery,WithinSession,Raw
181,0.75489795,46.456577,144.0,0.027764784,4,session_T,22,2,BNCI2014-001,LogVar + LDA,LeftRightImagery,WithinSession,Raw
182,0.792449,14.049954,144.0,0.006094215,4,session_E,22,2,BNCI2014-001,MDM,LeftRightImagery,WithinSession,Riemannian
183,0.75537413,58.811096,144.0,0.035196066,4,session_T,22,2,BNCI2014-001,MDM,LeftRightImagery,WithinSession,Riemannian
184,0.85952383,57.93468,144.0,0.015359587,4,session_E,22,2,BNCI2014-001,CSP + SVM,LeftRightImagery,WithinSession,Raw
185,0.7870068,16.891003,144.0,0.011809484,4,session_T,22,2,BNCI2014-001,CSP + SVM,LeftRightImagery,WithinSession,Raw
186,0.9227891,11.271281,144.0,0.0018312543,4,session_E,22,2,BNCI2014-001,TS + LR,LeftRightImagery,WithinSession,Riemannian
187,0.8297959,77.68175,144.0,0.04311561,4,session_T,22,2,BNCI2014-001,TS + LR,LeftRightImagery,WithinSession,Riemannian
188,0.9205442,78.11753,144.0,0.04111124,4,session_E,22,2,BNCI2014-001,FgMDM,LeftRightImagery,WithinSession,Riemannian
189,0.8267347,0.3300969,144.0,0.00025286435,4,session_T,22,2,BNCI2014-001,FgMDM,LeftRightImagery,WithinSession,Riemannian
190,0.865034,0.2520763,144.0,6.410755e-05,4,session_E,22,2,BNCI2014-001,DLCSPauto + shLDA,LeftRightImagery,WithinSession,Raw
191,0.83462584,0.44766217,144.0,0.00027281744,4,session_T,22,2,BNCI2014-001,DLCSPauto + shLDA,LeftRightImagery,WithinSession,Raw
192,0.91210884,9.647305,144.0,0.002311056,4,session_E,22,2,BNCI2014-001,TS + SVM,LeftRightImagery,WithinSession,Riemannian
