Unnamed: 0,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,pipelineDataset,paradigm,evaluation,pipeline_category,ITR
55,0.85,14.230517,100.0,0.10162661,28,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,69.14491921052557
56,0.6,15.96158,100.0,0.1139888,29,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,23.703864315412115
57,0.46,15.365429,100.0,0.10973116,29,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,8.924508647421
58,0.96,16.261997,100.0,0.11613437,30,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,101.65855865332433
59,0.52,28.7972,100.0,0.20565563,30,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,14.422347819518597
60,0.99,15.583466,100.0,0.11128843,31,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,114.20143434581263
61,0.99,15.78396,100.0,0.11272005,31,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,114.20143434581263
62,0.94,16.643326,100.0,0.11885778,32,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,94.64743984813525
63,0.74,18.637974,100.0,0.1331025,32,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,45.66980263919289
64,0.82,14.433355,100.0,0.103075184,33,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,62.0777822485147
65,0.66,14.177332,100.0,0.101246856,33,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,32.17764268690662
66,0.4,15.739106,100.0,0.11239997,34,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,4.6843143067582504
67,0.54,15.552403,100.0,0.111066535,34,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,16.53232865088254
68,0.88,15.190563,100.0,0.10848215,35,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,76.82661807756583
69,0.77,15.867909,100.0,0.11331982,35,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,51.44683927725579
70,1.0,16.693853,100.0,0.119218595,36,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,120.0
71,1.0,15.908336,100.0,0.11360844,36,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,120.0
72,0.76,16.183058,100.0,0.11557051,37,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,49.47412322654402
73,0.94,14.931096,100.0,0.1066232,37,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,94.64743984813525
74,0.98,16.071281,100.0,0.11477237,38,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,109.61161244662537
75,0.91,16.267015,100.0,0.11617023,38,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,85.25301347225958
76,0.75,14.562544,100.0,0.103997715,39,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,47.548875021634686
77,0.72,15.044332,100.0,0.10743059,39,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,42.045581354276734
78,0.57,16.038857,100.0,0.114540674,40,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,19.959065250658963
79,0.68,16.908598,100.0,0.12075218,40,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,35.30583252268417
80,0.82,15.486003,100.0,0.11059213,41,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,62.0777822485147
81,0.93,16.61091,100.0,0.11862611,41,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,91.38773844295777
82,0.81,15.746266,100.0,0.112445794,42,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,59.84313989874499
83,0.39,18.51295,100.0,0.1322093,42,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,4.102399563300447
84,0.85,15.800058,100.0,0.112835035,43,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,69.14491921052557
85,0.98,16.262913,100.0,0.11614091,43,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,109.61161244662537
86,1.0,14.993249,100.0,0.10707398,44,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,120.0
87,0.94,14.381864,100.0,0.1027074,44,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,94.64743984813525
88,0.65,15.488699,100.0,0.11061154,45,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,30.67170416232626
89,0.95,16.191051,100.0,0.11562769,45,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,98.06129507087914
90,0.61,16.181082,100.0,0.115556434,46,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,25.02390457281971
91,0.72,16.765095,100.0,0.11972743,46,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,42.045581354276734
92,0.26,13.146746,100.0,0.093886405,47,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,0.0228826184235853
93,0.53,14.258693,100.0,0.10182797,47,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,15.459962165599016
94,0.87,14.94655,100.0,0.10672993,48,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,Lee2019-SSVEP||SSVEP_MDM,SSVEP,WithinSession,Riemannian,74.19100139269564
