;score;time;samples;subject;session;channels;n_sessions;dataset;pipeline;paradigm;evaluation;imputed;pipeline_category
65;0.94745064;13.812851;576.0;3;2;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
66;0.9598136;13.680767;576.0;3;2;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
67;0.9382401;10.395079;576.0;3;2;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
68;0.9180373;13.993466;576.0;4;0;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
69;0.91672146;14.973575;576.0;4;0;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
70;0.8891831;9.510634;576.0;4;0;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
71;0.82916665;8.034618;576.0;4;0;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
72;0.92492324;14.531878;576.0;4;1;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
73;0.9202467;13.588576;576.0;4;1;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
74;0.9129605;12.003089;576.0;4;1;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
75;0.8355866;9.567285;576.0;4;1;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
76;0.8971656;12.395648;576.0;4;2;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
77;0.898114;14.958497;576.0;4;2;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
78;0.8822259;11.588844;576.0;4;2;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
79;0.7623191;12.353395;576.0;4;2;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
80;0.96242875;23.001133;576.0;5;0;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
81;0.9119024;17.618547;576.0;5;0;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
82;0.94163924;12.166139;576.0;5;0;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
83;0.9246272;10.88997;576.0;5;0;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
84;0.9233224;11.975088;576.0;5;1;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
85;0.92354167;13.833881;576.0;5;1;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
86;0.91595393;9.682521;576.0;5;1;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
87;0.8816173;7.728962;576.0;5;1;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
88;0.91675985;16.4034;576.0;5;2;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
89;0.88632125;13.970761;576.0;5;2;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
90;0.9081469;12.431624;576.0;5;2;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
91;0.8233498;9.545046;576.0;5;2;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
92;0.8416338;11.915185;576.0;6;0;16;3;BNCI2014-009;EEGITNet;P300;WithinSession;False;Deep Learning
93;0.8236623;13.809456;576.0;6;0;16;3;BNCI2014-009;EEGNeX;P300;WithinSession;False;Deep Learning
94;0.8412829;9.951251;576.0;6;0;16;3;BNCI2014-009;EEGNet-8.2;P300;WithinSession;False;Deep Learning
95;0.73917216;14.358666;576.0;6;0;16;3;BNCI2014-009;ShallowConvNet;P300;WithinSession;False;Deep Learning
