,score,time,samples,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,imputed,pipeline_category
2779,0.41,21.666452,100.0,14,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2780,0.97,24.890179,100.0,15,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2781,0.97,97.88074,100.0,15,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2782,0.85,16.765839,100.0,15,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2783,0.89,142.09084,100.0,15,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2784,0.69,17.239784,100.0,15,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2785,1.0,90.0702,100.0,15,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2786,0.29,6.5020204,100.0,15,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2787,0.62,53.244938,100.0,15,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2788,1.0,24.84185,100.0,16,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2789,1.0,97.68847,100.0,16,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2790,0.97,19.243937,100.0,16,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2791,0.93,33.875984,100.0,16,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2792,0.98,23.358364,100.0,16,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2793,0.99,97.42546,100.0,16,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2794,0.98,16.207438,100.0,16,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2795,0.99,26.098465,100.0,16,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2796,0.97,25.407722,100.0,17,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2797,1.0,98.51796,100.0,17,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2798,0.73,15.565802,100.0,17,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2799,0.85,34.0302,100.0,17,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2800,0.94,25.929878,100.0,17,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2801,0.98,98.328255,100.0,17,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2802,0.4,13.139693,100.0,17,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2803,0.58,20.07627,100.0,17,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2804,0.98,25.48361,100.0,18,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2805,0.98,98.75268,100.0,18,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2806,0.95,17.713865,100.0,18,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2807,0.9,14.587274,100.0,18,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2808,1.0,25.171982,100.0,18,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2809,1.0,98.09457,100.0,18,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2810,1.0,15.896006,100.0,18,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2811,0.98,33.37931,100.0,18,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2812,0.99,25.8923,100.0,19,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2813,0.99,98.1765,100.0,19,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2814,0.3,7.5332217,100.0,19,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2815,0.62,19.909185,100.0,19,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2816,0.98,25.218945,100.0,19,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2817,0.99,97.9096,100.0,19,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2818,0.37,8.935747,100.0,19,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2819,0.69,33.458744,100.0,19,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2820,0.96,25.53592,100.0,20,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2821,1.0,98.34527,100.0,20,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2822,0.24,7.2614784,100.0,20,0,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2823,0.57,33.83889,100.0,20,0,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2824,0.8,21.603804,100.0,20,1,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2825,0.93,98.21947,100.0,20,1,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
"2826,0.25,8.347713,100.0,20,1,62,2,Lee2019-SSVEP,""EEGNet-8,2"",SSVEP,WithinSession,False,Deep Learning"
2827,0.4,11.9064,100.0,20,1,62,2,Lee2019-SSVEP,ShallowConvNet,SSVEP,WithinSession,False,Deep Learning
2828,0.98,25.373722,100.0,21,0,62,2,Lee2019-SSVEP,EEGITNet,SSVEP,WithinSession,False,Deep Learning
2829,1.0,97.457596,100.0,21,0,62,2,Lee2019-SSVEP,EEGNeX,SSVEP,WithinSession,False,Deep Learning
