,Score,time,subject,nb_cal,clf,score_01
88,0.9,1.4901041666666666,3,5,Xdawn+RG+MDM,0.8027319587628866
89,0.8,1.441379310344828,3,5,Xdawn+RG+LDA,0.7377061855670104
90,0.8,1.4259259259259263,3,5,Xdawn+RG+SVC,0.663840206185567
91,0.88,1.3976851851851853,3,5,Xdawn+LDA,0.7825579896907217
92,0.92,1.4397849462365593,3,6,Xdawn+RG+MDM,0.8020045819014892
93,0.86,1.4749999999999999,3,6,Xdawn+RG+LDA,0.7677835051546391
94,0.81,1.4805555555555558,3,6,Xdawn+RG+SVC,0.6919458762886598
95,0.97,1.41875,3,6,Xdawn+LDA,0.7886955899198167
96,0.78,1.4378787878787878,3,7,Xdawn+RG+MDM,0.8064110824742268
97,0.88,1.4246666666666667,3,7,Xdawn+RG+LDA,0.7644007731958763
98,0.81,1.4567901234567902,3,7,Xdawn+RG+SVC,0.6978173324742268
99,0.97,1.3908045977011498,3,7,Xdawn+LDA,0.8146343427835052
100,0.89,1.3912698412698412,3,8,Xdawn+RG+MDM,0.8257179675994109
101,0.93,1.4471014492753622,3,8,Xdawn+RG+LDA,0.7746410162002946
102,0.89,1.3881944444444443,3,8,Xdawn+RG+SVC,0.7138162739322533
103,0.96,1.4146666666666667,3,8,Xdawn+LDA,0.8131535346097202
104,0.88,1.4190476190476191,3,9,Xdawn+RG+MDM,0.8389819587628866
105,0.83,1.4473684210526314,3,9,Xdawn+RG+LDA,0.769286941580756
106,0.92,1.395614035087719,3,9,Xdawn+RG+SVC,0.701879295532646
107,0.96,1.3916666666666666,3,9,Xdawn+LDA,0.8132517182130584
108,0.5,1.4220588235294116,4,1,Xdawn+RG+MDM,0.6045931516936671
109,0.61,1.403888888888889,4,1,Xdawn+RG+LDA,0.6271400957290133
110,0.41,1.3717948717948723,4,1,Xdawn+RG+SVC,0.5420287187039764
111,0.68,1.4523809523809526,4,1,Xdawn+LDA,0.6420333210603829
112,0.75,1.4983739837398373,4,2,Xdawn+RG+MDM,0.6786528548770817
113,0.79,1.4408045977011497,4,2,Xdawn+RG+LDA,0.6383178033306899
114,0.63,1.4094017094017097,4,2,Xdawn+RG+SVC,0.5673820380650277
115,0.83,1.4908333333333332,4,2,Xdawn+LDA,0.6628568596352101
116,0.83,1.4729729729729728,4,3,Xdawn+RG+MDM,0.7183848797250859
