,Score,time,subject,nb_cal,clf,score_01,time_training
233,0.95,1.442929292929293,7,5,Xdawn+RG+LDA,0.7809342783505154,0.0
234,0.9,1.4666666666666668,7,5,Xdawn+RG+SVC,0.752854381443299,0.0
235,0.9,1.4161764705882354,7,5,Xdawn+LDA,0.7926675257731959,0.0
236,0.92,1.4444444444444449,7,6,Xdawn+RG+MDM,0.7926331615120275,0.0
237,0.94,1.4241379310344828,7,6,Xdawn+RG+LDA,0.7935996563573884,0.0
238,0.92,1.4211111111111114,7,6,Xdawn+RG+SVC,0.7783576746849943,0.0
239,0.97,1.4138888888888892,7,6,Xdawn+LDA,0.8172036082474227,0.0
240,0.88,1.4345238095238098,7,7,Xdawn+RG+MDM,0.7834890463917525,0.0
241,0.84,1.4234567901234572,7,7,Xdawn+RG+LDA,0.7964642396907217,0.0
242,0.78,1.4388888888888893,7,7,Xdawn+RG+SVC,0.7954896907216495,0.0
243,0.84,1.41474358974359,7,7,Xdawn+LDA,0.8090608891752578,0.0
244,0.89,1.4362318840579709,7,8,Xdawn+RG+MDM,0.8099134756995582,0.0
245,0.89,1.3971014492753624,7,8,Xdawn+RG+LDA,0.807179675994109,0.0
246,0.93,1.40625,7,8,Xdawn+RG+SVC,0.8014083210603828,0.0
247,0.89,1.3479166666666664,7,8,Xdawn+LDA,0.8180136229749632,0.0
248,0.83,1.4675925925925926,7,9,Xdawn+RG+MDM,0.7924506013745705,0.0
249,1.0,1.4230158730158728,7,9,Xdawn+RG+LDA,0.8200386597938145,0.0
250,0.92,1.3341269841269838,7,9,Xdawn+RG+SVC,0.7935889175257732,0.0
251,0.96,1.4408333333333332,7,9,Xdawn+LDA,0.8269974226804124,0.0
252,0.95,1.4276595744680847,8,1,Xdawn+RG+MDM,0.7448407584683358,0.0
253,0.96,1.416666666666667,8,1,Xdawn+RG+LDA,0.7747054491899853,0.0
254,0.88,1.424074074074074,8,1,Xdawn+RG+SVC,0.7291145066273932,0.0008924007415771484
255,0.71,1.4390350877192983,8,1,Xdawn+LDA,0.6765095729013255,0.0
256,0.9,1.441851851851852,8,2,Xdawn+RG+MDM,0.7886102299762093,0.0
257,0.96,1.4351449275362318,8,2,Xdawn+RG+LDA,0.7928281126090404,0.0
258,0.94,1.4271317829457364,8,2,Xdawn+RG+SVC,0.7744944488501189,0.0
259,0.88,1.4384920634920633,8,2,Xdawn+LDA,0.7279440919904838,0.0
260,0.9,1.4516666666666667,8,3,Xdawn+RG+MDM,0.8092192869415807,0.0
261,0.96,1.4368217054263568,8,3,Xdawn+RG+LDA,0.7930358676975945,0.0
262,0.92,1.3864035087719302,8,3,Xdawn+RG+SVC,0.7973743556701032,0.0
263,0.98,1.3946969696969698,8,3,Xdawn+LDA,0.8173163659793814,0.0
264,0.98,1.3962962962962964,8,4,Xdawn+RG+MDM,0.8353151358950328,0.0
265,0.95,1.411538461538462,8,4,Xdawn+RG+LDA,0.8088858950328023,0.0
266,0.95,1.3931623931623935,8,4,Xdawn+RG+SVC,0.7913191190253046,0.0
267,1.0,1.4051587301587303,8,4,Xdawn+LDA,0.8322574976569821,0.0
268,1.0,1.4072649572649576,8,5,Xdawn+RG+MDM,0.832409793814433,0.0
269,1.0,1.3947368421052635,8,5,Xdawn+RG+LDA,0.8455412371134021,0.0
270,0.98,1.3939814814814815,8,5,Xdawn+RG+SVC,0.8041301546391753,0.0
271,1.0,1.401709401709402,8,5,Xdawn+LDA,0.8612113402061856,0.0
272,0.97,1.3866666666666667,8,6,Xdawn+RG+MDM,0.8338559564719359,0.0
273,1.0,1.3523809523809525,8,6,Xdawn+RG+LDA,0.8556557846506301,0.0
274,0.97,1.412903225806452,8,6,Xdawn+RG+SVC,0.8237972508591065,0.0
