;index_participant;score;classifier;TF_method
159;4;7.453302955627441;SPDNet;WO
160;5;7.350887441635132;SPDNet;WO
161;6;7.547673845291138;SPDNet;WO
162;7;7.348924970626831;SPDNet;WO
163;8;7.450617933273316;SPDNet;WO
164;9;7.577921342849732;SPDNet;WO
165;10;7.492705774307251;SPDNet;WO
166;11;7.536807107925415;SPDNet;WO
167;12;7.144999361038208;SPDNet;WO
168;1;1147.1283683776855;SPDbnNet;LOOArecenter
169;2;1148.5870051383972;SPDbnNet;LOOArecenter
170;3;1153.1067607402802;SPDbnNet;LOOArecenter
171;4;1107.9530801773071;SPDbnNet;LOOArecenter
172;5;1095.5191423892975;SPDbnNet;LOOArecenter
173;6;1095.5971014499664;SPDbnNet;LOOArecenter
174;7;1097.1391367912292;SPDbnNet;LOOArecenter
175;8;1094.7197058200836;SPDbnNet;LOOArecenter
176;9;1096.0652439594269;SPDbnNet;LOOArecenter
177;10;1097.677240371704;SPDbnNet;LOOArecenter
178;11;1093.5411291122437;SPDbnNet;LOOArecenter
179;12;1095.8470752239227;SPDbnNet;LOOArecenter
180;1;1101.665830373764;SPDbnNet;LOOA
181;2;1108.448213338852;SPDbnNet;LOOA
182;3;1143.0021233558655;SPDbnNet;LOOA
183;4;1144.6245110034943;SPDbnNet;LOOA
184;5;1125.4766356945038;SPDbnNet;LOOA
185;6;1127.5977919101715;SPDbnNet;LOOA
186;7;1127.392096042633;SPDbnNet;LOOA
187;8;1135.5923156738281;SPDbnNet;LOOA
188;9;1129.6902635097504;SPDbnNet;LOOA
189;10;1131.6110665798187;SPDbnNet;LOOA
190;11;1128.4494483470917;SPDbnNet;LOOA
191;12;1127.3815896511078;SPDbnNet;LOOA
192;1;1115.9787104129791;SPDbnNet;LOOrecenter
193;2;1117.1434967517853;SPDbnNet;LOOrecenter
194;3;1118.8790574073792;SPDbnNet;LOOrecenter
195;4;1117.2627210617065;SPDbnNet;LOOrecenter
196;5;1116.595954656601;SPDbnNet;LOOrecenter
197;6;1111.1860268115997;SPDbnNet;LOOrecenter
198;7;1111.311785697937;SPDbnNet;LOOrecenter
199;8;1114.7164869308472;SPDbnNet;LOOrecenter
200;9;1127.6184566020966;SPDbnNet;LOOrecenter
201;10;1126.293446302414;SPDbnNet;LOOrecenter
202;11;1127.124196767807;SPDbnNet;LOOrecenter
203;12;1127.369910478592;SPDbnNet;LOOrecenter
204;1;1174.5547337532043;SPDbnNet;LOO
205;2;1142.4302928447723;SPDbnNet;LOO
206;3;1148.3716852664948;SPDbnNet;LOO
207;4;1125.5513968467712;SPDbnNet;LOO
208;5;1052.1463615894318;SPDbnNet;LOO
209;6;1048.145290851593;SPDbnNet;LOO
210;7;1047.1503398418427;SPDbnNet;LOO
211;8;1057.812510251999;SPDbnNet;LOO
212;9;1079.7480266094208;SPDbnNet;LOO
213;10;1066.3347680568695;SPDbnNet;LOO
214;11;1061.4978365898132;SPDbnNet;LOO
215;12;1078.2246317863464;SPDbnNet;LOO
216;1;79.20001578330994;SPDbnNet;WOrecenter
217;2;71.23977184295654;SPDbnNet;WOrecenter
218;3;77.9242479801178;SPDbnNet;WOrecenter
219;4;78.73809432983398;SPDbnNet;WOrecenter
220;5;72.58619260787964;SPDbnNet;WOrecenter
221;6;78.31197309494019;SPDbnNet;WOrecenter
222;7;78.81606411933899;SPDbnNet;WOrecenter
223;8;73.85869145393372;SPDbnNet;WOrecenter
224;9;71.30310559272766;SPDbnNet;WOrecenter
225;10;55.305988073349;SPDbnNet;WOrecenter
226;11;53.42557668685913;SPDbnNet;WOrecenter
227;12;54.73098707199097;SPDbnNet;WOrecenter
228;1;67.21475195884705;SPDbnNet;WO
229;2;68.18148422241211;SPDbnNet;WO
230;3;54.7388334274292;SPDbnNet;WO
231;4;68.29141902923584;SPDbnNet;WO
232;5;60.016960859298706;SPDbnNet;WO
233;6;66.28732824325562;SPDbnNet;WO
234;7;67.39675760269165;SPDbnNet;WO
235;8;59.91015267372131;SPDbnNet;WO
236;9;67.64445567131042;SPDbnNet;WO
237;10;55.47393178939819;SPDbnNet;WO
238;11;67.89659714698792;SPDbnNet;WO
239;12;65.81371450424194;SPDbnNet;WO
