,score,time,session,dataset,pipeline,paradigm
245,0.0,4.0272536,subject03_block_3,Huebner2018,ERPCov(svd_n=4) + MDM,P300
246,0.0,31.731546,subject03_block_3,Huebner2018,ERPCov + MDM,P300
247,0.0,32.758785,subject03_block_3,Huebner2018,XDAWN + LDA,P300
248,0.0,4.2995453,subject03_block_3,Huebner2018,MDM,P300
249,0.0,10.008609,subject03_block_3,Huebner2018,TS + SVM,P300
250,0.0,4.1662498,subject04_block_1,Huebner2018,ERPCov(svd_n=4) + MDM,P300
251,0.0,31.416227,subject04_block_1,Huebner2018,ERPCov + MDM,P300
252,0.0,32.169785,subject04_block_1,Huebner2018,XDAWN + LDA,P300
253,0.0,4.911344,subject04_block_1,Huebner2018,MDM,P300
254,0.0,9.897144,subject04_block_1,Huebner2018,TS + SVM,P300
255,0.0,4.1193995,subject04_block_2,Huebner2018,ERPCov(svd_n=4) + MDM,P300
256,0.0,32.845642,subject04_block_2,Huebner2018,ERPCov + MDM,P300
257,0.0,31.013165,subject04_block_2,Huebner2018,XDAWN + LDA,P300
258,0.0,4.5105743,subject04_block_2,Huebner2018,MDM,P300
259,0.0,10.029686,subject04_block_2,Huebner2018,TS + SVM,P300
260,0.0,3.8370295,subject04_block_3,Huebner2018,ERPCov(svd_n=4) + MDM,P300
261,0.0,32.24888,subject04_block_3,Huebner2018,ERPCov + MDM,P300
262,0.0,30.85254,subject04_block_3,Huebner2018,XDAWN + LDA,P300
263,0.0,4.896847,subject04_block_3,Huebner2018,MDM,P300
264,0.0,9.840943,subject04_block_3,Huebner2018,TS + SVM,P300
265,0.0,3.8277533,subject05_block_1,Huebner2018,ERPCov(svd_n=4) + MDM,P300
266,0.0,29.670046,subject05_block_1,Huebner2018,ERPCov + MDM,P300
267,0.0,31.738073,subject05_block_1,Huebner2018,XDAWN + LDA,P300
268,0.0,5.281602,subject05_block_1,Huebner2018,MDM,P300
269,0.0,10.46962,subject05_block_1,Huebner2018,TS + SVM,P300
270,0.0,3.8606913,subject05_block_2,Huebner2018,ERPCov(svd_n=4) + MDM,P300
271,0.0,26.816069,subject05_block_2,Huebner2018,ERPCov + MDM,P300
272,0.0,32.418594,subject05_block_2,Huebner2018,XDAWN + LDA,P300
273,0.0,4.809468,subject05_block_2,Huebner2018,MDM,P300
274,0.0,10.147678,subject05_block_2,Huebner2018,TS + SVM,P300
275,0.0,4.124237,subject05_block_3,Huebner2018,ERPCov(svd_n=4) + MDM,P300
276,0.0,32.18063,subject05_block_3,Huebner2018,ERPCov + MDM,P300
277,0.0,33.587986,subject05_block_3,Huebner2018,XDAWN + LDA,P300
278,0.0,5.26233,subject05_block_3,Huebner2018,MDM,P300
279,0.0,10.1887455,subject05_block_3,Huebner2018,TS + SVM,P300
280,0.0,4.789697,subject06_block_1,Huebner2018,ERPCov(svd_n=4) + MDM,P300
281,0.0,37.73653,subject06_block_1,Huebner2018,ERPCov + MDM,P300
282,0.0,33.074406,subject06_block_1,Huebner2018,XDAWN + LDA,P300
283,0.0,5.6417756,subject06_block_1,Huebner2018,MDM,P300
284,0.0,9.430528,subject06_block_1,Huebner2018,TS + SVM,P300
285,0.0,3.7957406,subject06_block_2,Huebner2018,ERPCov(svd_n=4) + MDM,P300
286,0.0,27.334316,subject06_block_2,Huebner2018,ERPCov + MDM,P300
287,0.0,31.399633,subject06_block_2,Huebner2018,XDAWN + LDA,P300
288,0.0,5.3471165,subject06_block_2,Huebner2018,MDM,P300
289,0.0,9.8197155,subject06_block_2,Huebner2018,TS + SVM,P300
290,0.0,3.7381253,subject06_block_3,Huebner2018,ERPCov(svd_n=4) + MDM,P300
291,0.0,30.973343,subject06_block_3,Huebner2018,ERPCov + MDM,P300
292,0.0,31.06768,subject06_block_3,Huebner2018,XDAWN + LDA,P300
293,0.0,5.0986896,subject06_block_3,Huebner2018,MDM,P300
294,0.0,9.849754,subject06_block_3,Huebner2018,TS + SVM,P300
295,0.0,3.810883,subject07_block_1,Huebner2018,ERPCov(svd_n=4) + MDM,P300
296,0.0,28.620216,subject07_block_1,Huebner2018,ERPCov + MDM,P300
297,0.0,32.0892,subject07_block_1,Huebner2018,XDAWN + LDA,P300
298,0.0,4.790826,subject07_block_1,Huebner2018,MDM,P300
299,0.0,9.988188,subject07_block_1,Huebner2018,TS + SVM,P300
300,0.0,4.0362267,subject07_block_2,Huebner2018,ERPCov(svd_n=4) + MDM,P300
301,0.0,28.259552,subject07_block_2,Huebner2018,ERPCov + MDM,P300
302,0.0,31.183765,subject07_block_2,Huebner2018,XDAWN + LDA,P300
303,0.0,5.4611087,subject07_block_2,Huebner2018,MDM,P300
304,0.0,9.929271,subject07_block_2,Huebner2018,TS + SVM,P300
305,0.0,3.9306452,subject07_block_3,Huebner2018,ERPCov(svd_n=4) + MDM,P300
306,0.0,32.782436,subject07_block_3,Huebner2018,ERPCov + MDM,P300
307,0.0,33.097538,subject07_block_3,Huebner2018,XDAWN + LDA,P300
308,0.0,4.987146,subject07_block_3,Huebner2018,MDM,P300
309,0.0,9.824456,subject07_block_3,Huebner2018,TS + SVM,P300
310,0.0,3.8602767,subject08_block_1,Huebner2018,ERPCov(svd_n=4) + MDM,P300
311,0.0,31.278467,subject08_block_1,Huebner2018,ERPCov + MDM,P300
312,0.0,33.859295,subject08_block_1,Huebner2018,XDAWN + LDA,P300
313,0.0,4.800756,subject08_block_1,Huebner2018,MDM,P300
314,0.0,10.115744,subject08_block_1,Huebner2018,TS + SVM,P300
315,0.0,3.774013,subject08_block_2,Huebner2018,ERPCov(svd_n=4) + MDM,P300
316,0.0,30.138689,subject08_block_2,Huebner2018,ERPCov + MDM,P300
317,0.0,33.25002,subject08_block_2,Huebner2018,XDAWN + LDA,P300
318,0.0,4.7719436,subject08_block_2,Huebner2018,MDM,P300
319,0.0,10.144361,subject08_block_2,Huebner2018,TS + SVM,P300
320,0.0,3.59452,subject08_block_3,Huebner2018,ERPCov(svd_n=4) + MDM,P300
321,0.0,28.890255,subject08_block_3,Huebner2018,ERPCov + MDM,P300
322,0.0,33.109104,subject08_block_3,Huebner2018,XDAWN + LDA,P300
323,0.0,5.265686,subject08_block_3,Huebner2018,MDM,P300
324,0.0,10.128338,subject08_block_3,Huebner2018,TS + SVM,P300
325,0.0,3.8710375,subject09_block_1,Huebner2018,ERPCov(svd_n=4) + MDM,P300
326,0.0,29.340466,subject09_block_1,Huebner2018,ERPCov + MDM,P300
327,0.0,34.665653,subject09_block_1,Huebner2018,XDAWN + LDA,P300
328,0.0,4.9529724,subject09_block_1,Huebner2018,MDM,P300
329,0.0,10.246312,subject09_block_1,Huebner2018,TS + SVM,P300
330,0.0,3.8583193,subject09_block_2,Huebner2018,ERPCov(svd_n=4) + MDM,P300
331,0.0,30.711239,subject09_block_2,Huebner2018,ERPCov + MDM,P300
332,0.0,33.344578,subject09_block_2,Huebner2018,XDAWN + LDA,P300
333,0.0,4.2312093,subject09_block_2,Huebner2018,MDM,P300
334,0.0,10.025276,subject09_block_2,Huebner2018,TS + SVM,P300
335,0.0,3.5912187,subject09_block_3,Huebner2018,ERPCov(svd_n=4) + MDM,P300
336,0.0,30.913273,subject09_block_3,Huebner2018,ERPCov + MDM,P300
337,0.0,34.482464,subject09_block_3,Huebner2018,XDAWN + LDA,P300
