,score,time,samples,carbon_emission,subject,session,channels,n_sessions,dataset,pipeline,paradigm,evaluation,pipeline_category
60,0.99,15.583466,100.0,0.11128843,31,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
61,0.99,15.78396,100.0,0.11272005,31,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
62,0.94,16.643326,100.0,0.11885778,32,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
63,0.74,18.637974,100.0,0.1331025,32,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
64,0.82,14.433355,100.0,0.103075184,33,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
65,0.66,14.177332,100.0,0.101246856,33,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
66,0.4,15.739106,100.0,0.11239997,34,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
67,0.54,15.552403,100.0,0.111066535,34,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
68,0.88,15.190563,100.0,0.10848215,35,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
69,0.77,15.867909,100.0,0.11331982,35,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
70,1.0,16.693853,100.0,0.119218595,36,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
71,1.0,15.908336,100.0,0.11360844,36,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
72,0.76,16.183058,100.0,0.11557051,37,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
73,0.94,14.931096,100.0,0.1066232,37,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
74,0.98,16.071281,100.0,0.11477237,38,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
75,0.91,16.267015,100.0,0.11617023,38,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
76,0.75,14.562544,100.0,0.103997715,39,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
77,0.72,15.044332,100.0,0.10743059,39,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
78,0.57,16.038857,100.0,0.114540674,40,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
79,0.68,16.908598,100.0,0.12075218,40,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
80,0.82,15.486003,100.0,0.11059213,41,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
81,0.93,16.61091,100.0,0.11862611,41,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
82,0.81,15.746266,100.0,0.112445794,42,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
83,0.39,18.51295,100.0,0.1322093,42,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
84,0.85,15.800058,100.0,0.112835035,43,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
85,0.98,16.262913,100.0,0.11614091,43,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
86,1.0,14.993249,100.0,0.10707398,44,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
87,0.94,14.381864,100.0,0.1027074,44,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
88,0.65,15.488699,100.0,0.11061154,45,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
89,0.95,16.191051,100.0,0.11562769,45,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
90,0.61,16.181082,100.0,0.115556434,46,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
91,0.72,16.765095,100.0,0.11972743,46,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
92,0.26,13.146746,100.0,0.093886405,47,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
93,0.53,14.258693,100.0,0.10182797,47,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
94,0.87,14.94655,100.0,0.10672993,48,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
95,0.93,15.342395,100.0,0.10956675,48,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
96,0.99,15.379486,100.0,0.10983144,49,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
97,0.72,14.836055,100.0,0.10594944,49,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
98,0.87,14.945479,100.0,0.10673281,50,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
99,0.73,15.356478,100.0,0.10966717,50,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
100,0.46,32.289726,100.0,0.23059809,51,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
101,0.7,17.71384,100.0,0.12650324,51,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
102,0.77,14.165827,100.0,0.101164475,52,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
103,0.48,14.316134,100.0,0.1022381,52,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
104,0.68,14.694357,100.0,0.10493932,53,session_1,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
105,0.83,15.490009,100.0,0.11062083,53,session_2,62,2,Lee2019-SSVEP,SSVEP_MDM,SSVEP,WithinSession,Riemannian
