,std_zscore,time,session,dataset,pipeline,paradigm
78,0.09637412631107095,5.268102791666666,session_A,BNCI2015-001,FBCSP + SVM,MotorImagery_rf
79,0.09797406119308656,302.3622325,session_A,BNCI2015-001,ACM + TS + SVM,MotorImagery_rf
80,0.09017629338628241,18.26119466666667,session_B,BNCI2015-001,"EEGNet-8,2",MotorImagery_rf
81,0.17873623077309259,23.723987833333336,session_B,BNCI2015-001,EEGTCNet,MotorImagery_rf
82,0.1617391590047246,20.134788458333333,session_B,BNCI2015-001,EEGITNet,MotorImagery_rf
83,0.18543421265295737,45.31923558333333,session_B,BNCI2015-001,EEGNeX,MotorImagery_rf
84,0.06424252820799924,31.005899083333336,session_B,BNCI2015-001,ShallowConvNet,MotorImagery_rf
85,0.10075057511208907,15.71743925,session_B,BNCI2015-001,DeepConvNet,MotorImagery_rf
86,0.06690384891768153,2.698023041666667,session_B,BNCI2015-001,TS + EL,MotorImagery_rf
87,0.07679747671997807,1.2076993438333332,session_B,BNCI2015-001,FgMDM,MotorImagery_rf
88,0.0679663289798707,2.9238739896666672,session_B,BNCI2015-001,TS + LR,MotorImagery_rf
89,0.07422595944516687,4.174676866666667,session_B,BNCI2015-001,TS + SVM,MotorImagery_rf
90,0.0833722825644109,0.6661814573333333,session_B,BNCI2015-001,CSP + LDA,MotorImagery_rf
91,0.11749305535032932,1.2535833791666666,session_B,BNCI2015-001,MDM,MotorImagery_rf
92,0.08707566752543454,2.1226051944166673,session_B,BNCI2015-001,DLCSPauto + shLDA,MotorImagery_rf
93,0.0876240390658996,13.616032124999998,session_B,BNCI2015-001,CSP + SVM,MotorImagery_rf
94,0.048777983421484906,4.85533475,session_B,BNCI2015-001,FBCSP + SVM,MotorImagery_rf
95,0.06043664899435342,289.8617425,session_B,BNCI2015-001,ACM + TS + SVM,MotorImagery_rf
96,0.08704919586073158,15.07130875,session_C,BNCI2015-001,"EEGNet-8,2",MotorImagery_rf
97,0.14653945714380126,17.114425,session_C,BNCI2015-001,EEGTCNet,MotorImagery_rf
98,0.12776174114342662,17.43180675,session_C,BNCI2015-001,EEGITNet,MotorImagery_rf
99,0.2005605815582914,36.0774495,session_C,BNCI2015-001,EEGNeX,MotorImagery_rf
