;Participant;CodeType;ModelType;CnnTrainingAccuracy;CnnTrainingVALAccuracy;CnnTrainingTime;CnnTestTruePositive;CnnTestFalsePositive;CnnTestTrueNegatives;CnnTestFalseNegatives;CnnTestAccuracy;CnnTestSensitivity;CnnTestPrecision;CnnTestFowlkesMallows;ClassWindowResultBestMinLenByITR;ClassWindowResultBestConsecutiveByITR;ClassWindowResultBestAccByITR;ClassWindowResultBestITRByITR;ClassWindowResultBestMinLenByAccuracy;ClassWindowResultBestConsecutiveByAccuracy;ClassWindowResultBestAccByAccuracy;ClassWindowResultBestITRByAccuracy;ClassWindowResultFile
14;3;burst100;Normed Electrode Norm;0.799368679523468;0.8208333253860474;465.2756850719452;921;1363;4457;279;0.7660968660968661;0.7675;0.4032399299474606;0.5563152399806031;30;40;0.87;55.0;40;50;0.9;52.0;./results/test_norm/user3_Normed Electrode Norm_burst100.csv
15;3;burst100;Temporal Norm;0.7994949221611023;0.8234848380088806;466.5978035926819;0;0;5820;1200;0.8290598290598291;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user3_Temporal Norm_burst100.csv
16;4;burst100;Global Norm;0.8013888597488403;0.8071969747543335;400.33449625968933;934;1464;4356;266;0.7535612535612536;0.7783333333333333;0.3894912427022519;0.5505942401048035;30;20;0.78;54.0;40;50;0.88;49.0;./results/test_norm/user4_Global Norm_burst100.csv
17;4;burst100;Electrode Norm;0.8034932613372803;0.8117424249649048;400.28944063186646;945;1519;4301;255;0.7472934472934473;0.7875;0.3835227272727273;0.5495672367665968;5;20;0.75;64.0;30;60;0.9;53.0;./results/test_norm/user4_Electrode Norm_burst100.csv
18;4;burst100;Normed Electrode Norm;0.8000420928001404;0.8128787875175476;386.976850271225;940;1537;4283;260;0.744017094017094;0.7833333333333333;0.3794913201453371;0.5452230743287687;40;10;0.82;70.0;5;60;0.92;61.0;./results/test_norm/user4_Normed Electrode Norm_burst100.csv
19;4;burst100;Temporal Norm;0.7988636493682861;0.8026515245437622;277.7830502986908;0;0;5820;1200;0.8290598290598291;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user4_Temporal Norm_burst100.csv
20;5;burst100;Global Norm;0.7944023609161377;0.7965909242630005;106.49930143356323;1127;1260;4560;73;0.8101139601139601;0.9391666666666667;0.47214076246334313;0.6658970386479853;10;20;0.87;85.0;5;30;0.92;83.0;./results/test_norm/user5_Global Norm_burst100.csv
21;5;burst100;Electrode Norm;0.7935185432434082;0.7981060743331909;108.42862439155579;1113;1234;4586;87;0.8118233618233618;0.9275;0.47422241158926287;0.6632053126664784;10;20;0.85;74.0;40;50;0.93;58.0;./results/test_norm/user5_Electrode Norm_burst100.csv
22;5;burst100;Normed Electrode Norm;0.79852694272995;0.7943181991577148;309.97178626060486;1115;1207;4613;85;0.815954415954416;0.9291666666666667;0.4801894918173988;0.6679641228990769;5;30;0.93;85.0;5;30;0.93;85.0;./results/test_norm/user5_Normed Electrode Norm_burst100.csv
23;5;burst100;Temporal Norm;0.7965488433837891;0.803787887096405;391.6855103969574;0;0;5820;1200;0.8290598290598291;0.0;;;0;0;0.0;0.0;5;10;0.25;0.0;./results/test_norm/user5_Temporal Norm_burst100.csv
24;6;burst100;Global Norm;0.8114057183265686;0.8204545378684998;392.74115896224976;685;1423;4397;515;0.7239316239316239;0.5708333333333333;0.3249525616698292;0.4306898581963524;40;10;0.58;24.0;40;50;0.65;20.0;./results/test_norm/user6_Global Norm_burst100.csv
25;6;burst100;Electrode Norm;0.8112373948097229;0.823106050491333;389.37420558929443;748;1436;4384;452;0.7310541310541311;0.6233333333333333;0.3424908424908425;0.4620454073854197;20;10;0.57;33.0;5;60;0.65;21.0;./results/test_norm/user6_Electrode Norm_burst100.csv
