;Participant;CodeType;ModelType;CnnTrainingAccuracy;CnnTrainingVALAccuracy;CnnTrainingTime;CnnTestTruePositive;CnnTestFalsePositive;CnnTestTrueNegatives;CnnTestFalseNegatives;CnnTestAccuracy;CnnTestSensitivity;CnnTestPrecision;CnnTestFowlkesMallows;ClassWindowResultBestMinLenByITR;ClassWindowResultBestConsecutiveByITR;ClassWindowResultBestAccByITR;ClassWindowResultBestITRByITR;ClassWindowResultBestMinLenByAccuracy;ClassWindowResultBestConsecutiveByAccuracy;ClassWindowResultBestAccByAccuracy;ClassWindowResultBestITRByAccuracy;ClassWindowResultFile
15;3;burst100;Temporal Norm;0.7986952662467957;0.8181818127632141;387.2225546836853;928;1368;4452;272;0.7663817663817664;0.7733333333333333;0.40418118466898956;0.5590767235457806;5;30;0.83;58.0;40;50;0.88;48.0;./results/test_norm/user3_Temporal Norm_burst100.csv
16;4;burst100;Global Norm;0.8031565546989441;0.7977272868156433;202.2796115875244;910;1443;4377;290;0.7531339031339032;0.7583333333333333;0.3867403314917127;0.5415515531457267;5;20;0.73;60.0;40;50;0.92;57.0;./results/test_norm/user4_Global Norm_burst100.csv
17;4;burst100;Electrode Norm;0.8050504922866821;0.8071969747543335;373.4538643360138;926;1517;4303;274;0.7448717948717949;0.7716666666666666;0.3790421612771183;0.5408273302255009;5;30;0.83;65.0;40;30;0.88;61.0;./results/test_norm/user4_Electrode Norm_burst100.csv
18;4;burst100;Normed Electrode Norm;0.8035774230957031;0.8007575869560242;372.2677071094513;949;1443;4377;251;0.7586894586894587;0.7908333333333334;0.3967391304347826;0.5601379553159268;5;20;0.77;72.0;5;60;0.92;62.0;./results/test_norm/user4_Normed Electrode Norm_burst100.csv
19;4;burst100;Temporal Norm;0.8029040694236755;0.8049242496490479;399.6285412311554;933;1568;4252;267;0.7386039886039886;0.7775;0.3730507796881247;0.5385600999029885;5;30;0.85;70.0;40;40;0.9;59.0;./results/test_norm/user4_Temporal Norm_burst100.csv
20;5;burst100;Global Norm;0.7917508482933044;0.8053030371665955;381.960275888443;1127;1311;4509;73;0.8028490028490028;0.9391666666666667;0.46226415094339623;0.6588953496276979;10;20;0.87;86.0;5;40;0.93;78.0;./results/test_norm/user5_Global Norm_burst100.csv
21;5;burst100;Electrode Norm;0.7928030490875244;0.8026515245437622;380.9540984630585;1120;1227;4593;80;0.8138176638176638;0.9333333333333333;0.4772049424797614;0.667376415261865;20;10;0.8;90.0;40;50;0.93;59.0;./results/test_norm/user5_Electrode Norm_burst100.csv
22;5;burst100;Normed Electrode Norm;0.7946127653121948;0.8041666746139526;372.89871048927307;1112;1237;4583;88;0.8112535612535613;0.9266666666666666;0.4733929331630481;0.6623272992997933;10;20;0.87;85.0;5;40;0.93;76.0;./results/test_norm/user5_Normed Electrode Norm_burst100.csv
23;5;burst100;Temporal Norm;0.7969697117805481;0.8060606122016907;400.1694793701172;1126;1294;4526;74;0.8051282051282052;0.9383333333333334;0.4652892561983471;0.660754431489326;20;10;0.8;91.0;5;40;0.93;78.0;./results/test_norm/user5_Temporal Norm_burst100.csv
24;6;burst100;Global Norm;0.8045875430107117;0.8083333373069763;381.2678213119507;790;1596;4224;410;0.7142450142450143;0.6583333333333333;0.3310980720871752;0.4668756766607041;40;10;0.68;40.0;40;50;0.75;31.0;./results/test_norm/user6_Global Norm_burst100.csv
25;6;burst100;Electrode Norm;0.8070707321166992;0.814393937587738;389.15177845954895;743;1453;4367;457;0.7279202279202279;0.6191666666666666;0.3383424408014572;0.4577011702660397;40;10;0.63;31.0;30;50;0.65;22.0;./results/test_norm/user6_Electrode Norm_burst100.csv
26;6;burst100;Normed Electrode Norm;0.8058501482009888;0.8102272748947144;375.43591022491455;650;1522;4298;550;0.7048433048433048;0.5416666666666666;0.2992633517495396;0.4026176625505484;40;10;0.6;27.0;40;10;0.6;27.0;./results/test_norm/user6_Normed Electrode Norm_burst100.csv
27;6;burst100;Temporal Norm;0.8054292798042297;0.8075757622718811;401.97979760169983;804;1602;4218;396;0.7153846153846154;0.67;0.3341645885286783;0.47317044953612064;40;10;0.62;30.0;40;50;0.7;25.0;./results/test_norm/user6_Temporal Norm_burst100.csv
